Student Number,Age,Gender,Residency,Class Standing,Scholarship,Study_Hours_Per_Week,Attendance_Rate,Y1_GWA,Y2_GWA,Y3_GWA,Y4_GWA,GPA_Trend,Final_GWA,Performance_Category
22-02932,22,Female,Family House,Regular,No,27,94,1.81,1.57,1.85,1.77,Stable,1.75,Good
22-02933,22,Male,Family House,Regular,Yes,22,77,2.14,2.01,1.96,2.25,Stable,2.07,Good
22-02934,20,Female,Dorm,Regular,Yes,40,93,1.76,1.47,1.68,1.9,Stable,1.68,Good
22-02935,21,Female,Family House,Regular,No,29,83,1.74,1.86,1.99,1.82,Stable,1.85,Good
22-02936,20,Female,Family House,Regular,No,30,87,1.86,1.76,1.85,1.82,Stable,1.82,Good
22-02937,22,Male,Family House,Regular,No,29,87,2.02,1.82,2.12,2.08,Stable,2.0,Good
22-02938,21,Female,Family House,Regular,No,27,88,2.01,1.88,1.81,1.7,Improving,1.87,Good
22-02939,23,Male,Family House,Regular,No,15,89,1.94,1.71,1.81,1.98,Stable,1.85,Good
22-02940,20,Female,Family House,Regular,Yes,32,99,1.74,1.76,1.75,1.6,Stable,1.73,Good
22-02941,20,Male,Family House,Regular,Yes,32,97,1.57,1.58,1.85,1.68,Stable,1.66,Good
22-02942,22,Male,Family House,Irregular,No,29,84,2.19,1.94,1.61,1.9,Stable,1.93,Good
22-02943,24,Female,Family House,Regular,Yes,25,98,1.65,1.74,1.74,1.68,Stable,1.7,Good
22-02944,21,Male,Family House,Regular,No,16,92,1.86,1.93,1.96,1.62,Stable,1.87,Good
22-02945,23,Female,Dorm,Regular,No,19,89,2.0,1.89,1.81,1.85,Stable,1.9,Good
22-02946,20,Male,Dorm,Regular,No,15,84,1.82,1.76,1.92,1.85,Stable,1.84,Good
22-02947,23,Male,Dorm,Regular,No,13,85,2.32,2.26,2.21,2.05,Stable,2.24,At-Risk
22-02948,20,Female,Dorm,Regular,No,20,84,1.88,2.07,1.86,1.82,Stable,1.92,Good
22-02949,22,Male,Family House,Regular,No,16,73,2.12,2.26,2.22,2.2,Stable,2.2,At-Risk
22-02950,21,Female,Family House,Regular,Yes,18,77,2.14,2.1,2.24,1.9,Stable,2.12,At-Risk
22-02951,22,Male,Family House,Regular,Yes,32,94,1.61,1.49,1.61,1.55,Stable,1.57,Excellent
22-02952,22,Female,Family House,Regular,Yes,27,98,1.86,1.69,1.71,2.08,Stable,1.81,Good
22-02953,23,Female,Dorm,Irregular,No,18,72,2.05,2.33,1.89,2.35,Declining,2.13,At-Risk
22-02954,20,Female,Family House,Regular,Yes,32,100,1.43,1.56,1.62,1.73,Stable,1.56,Excellent
22-02955,20,Female,Family House,Regular,No,13,76,2.4,2.17,2.22,2.3,Stable,2.28,At-Risk
22-02956,24,Female,Family House,Regular,Yes,28,98,1.52,1.54,1.36,1.65,Stable,1.5,Excellent
22-02957,23,Female,Dorm,Regular,No,18,87,2.0,1.74,1.85,1.98,Stable,1.88,Good
22-02958,21,Male,Family House,Regular,Yes,29,88,1.76,1.76,1.92,1.8,Stable,1.81,Good
22-02959,20,Male,Dorm,Regular,No,32,90,1.54,1.29,1.6,1.4,Stable,1.47,Excellent
22-02960,22,Female,Dorm,Regular,No,12,73,2.25,2.18,2.21,1.95,Stable,2.18,At-Risk
22-02961,24,Male,Family House,Regular,No,37,96,1.49,1.43,1.61,1.68,Stable,1.53,Excellent
22-02962,21,Male,Family House,Regular,No,40,98,1.46,1.39,1.57,1.85,Declining,1.53,Excellent
22-02963,21,Male,Family House,Regular,No,31,94,1.48,1.39,1.62,1.38,Stable,1.48,Excellent
22-02964,24,Female,Dorm,Regular,No,16,84,1.96,1.92,2.07,1.7,Stable,1.94,Good
22-02965,20,Female,Family House,Regular,No,26,91,1.65,1.57,1.6,1.68,Stable,1.62,Excellent
22-02966,24,Female,Family House,Irregular,No,23,81,2.24,1.99,1.82,1.6,Improving,1.96,Good
22-02967,20,Male,Family House,Regular,No,25,95,1.5,1.67,1.92,1.98,Declining,1.73,Good
22-02968,23,Male,Dorm,Irregular,Yes,17,90,2.17,2.19,1.74,1.9,Stable,2.02,Good
22-02969,20,Female,Dorm,Irregular,Yes,27,97,2.02,1.83,1.42,1.7,Improving,1.76,Good
22-02970,22,Female,Dorm,Regular,No,30,88,1.94,1.93,1.79,2.05,Stable,1.91,Good
22-02971,22,Male,Dorm,Regular,No,9,86,2.39,2.22,2.18,2.15,Stable,2.25,At-Risk
22-02972,22,Female,Family House,Regular,No,20,88,1.94,1.99,1.85,2.02,Stable,1.94,Good
22-02973,22,Female,Dorm,Regular,No,27,86,2.02,1.82,1.86,1.88,Stable,1.9,Good
22-02974,21,Male,Family House,Regular,Yes,35,94,1.42,1.56,1.76,1.7,Stable,1.59,Excellent
22-02975,21,Female,Family House,Regular,No,30,82,1.95,1.79,1.69,1.93,Stable,1.84,Good
22-02976,20,Female,Family House,Regular,Yes,21,87,1.79,1.68,1.64,1.65,Stable,1.7,Good
22-02977,24,Female,Family House,Regular,No,15,88,1.77,2.01,1.9,2.15,Declining,1.93,Good
22-02978,22,Male,Dorm,Irregular,No,12,84,2.24,2.06,1.72,2.27,Stable,2.06,Good
22-02979,21,Female,Dorm,Regular,Yes,25,84,1.85,1.79,1.93,1.85,Stable,1.85,Good
22-02980,21,Male,Dorm,Irregular,No,14,76,2.27,2.18,2.06,1.95,Improving,2.14,At-Risk
22-02981,21,Female,Family House,Irregular,No,23,90,2.37,1.86,1.74,1.75,Improving,1.97,Good
22-02982,21,Male,Family House,Regular,Yes,32,86,1.81,1.69,1.65,2.0,Stable,1.76,Good
22-02983,20,Female,Family House,Regular,No,35,93,1.54,1.81,1.53,1.55,Stable,1.61,Excellent
22-02984,21,Male,Family House,Regular,No,21,81,1.51,1.88,1.72,2.05,Declining,1.75,Good
22-02985,22,Female,Family House,Regular,No,28,82,1.83,1.83,1.82,1.9,Stable,1.84,Good
22-02986,21,Female,Family House,Regular,Yes,35,92,1.75,1.86,1.83,1.88,Stable,1.82,Good
22-02987,20,Female,Family House,Regular,No,17,81,2.1,2.29,2.08,2.15,Stable,2.15,At-Risk
22-02988,21,Male,Family House,Regular,Yes,22,75,2.06,1.94,2.28,2.23,Stable,2.11,At-Risk
22-02989,22,Female,Dorm,Regular,Yes,22,80,1.9,2.01,2.21,2.17,Stable,2.06,Good
22-02990,24,Male,Dorm,Regular,Yes,37,93,1.49,1.47,1.35,1.55,Stable,1.46,Excellent
22-02991,20,Female,Family House,Regular,No,25,84,1.92,1.94,1.56,1.62,Stable,1.78,Good
22-02992,21,Male,Family House,Regular,No,26,93,1.57,1.71,1.61,1.65,Stable,1.63,Excellent
22-02993,22,Male,Family House,Regular,No,29,86,1.79,1.53,1.86,1.6,Stable,1.71,Good
22-02994,24,Female,Dorm,Regular,No,30,80,1.76,1.57,1.79,1.77,Stable,1.72,Good
22-02995,23,Female,Family House,Regular,No,19,83,2.37,2.04,2.1,2.48,Stable,2.22,At-Risk
22-02996,21,Male,Family House,Regular,No,26,91,1.6,1.67,1.65,1.8,Stable,1.66,Good
22-02997,24,Male,Dorm,Regular,No,16,92,1.95,1.79,1.61,1.88,Stable,1.81,Good
22-02998,24,Male,Family House,Regular,No,37,100,1.46,1.61,1.5,1.52,Stable,1.52,Excellent
22-02999,22,Male,Family House,Regular,No,15,87,1.81,1.89,1.78,1.57,Stable,1.79,Good
22-03000,21,Male,Dorm,Regular,No,24,91,1.88,1.85,1.86,1.85,Stable,1.86,Good
22-03001,23,Male,Family House,Regular,Yes,12,86,2.01,1.96,2.12,2.33,Declining,2.07,Good
22-03002,22,Female,Family House,Regular,No,27,81,2.01,1.85,2.06,2.0,Stable,1.98,Good
22-03003,23,Male,Family House,Regular,Yes,28,85,1.8,1.82,1.71,1.55,Stable,1.74,Good
22-03004,21,Male,Family House,Regular,No,21,92,1.9,1.65,1.96,1.88,Stable,1.85,Good
22-03005,22,Male,Family House,Regular,No,20,92,1.93,1.93,1.96,2.02,Stable,1.95,Good
22-03006,23,Male,Family House,Regular,No,25,87,1.69,1.92,1.71,1.98,Stable,1.8,Good
22-03007,20,Male,Dorm,Irregular,No,30,94,2.07,1.64,1.69,1.68,Improving,1.79,Good
22-03008,21,Male,Family House,Regular,No,30,92,1.6,1.65,1.47,1.88,Stable,1.62,Excellent
22-03009,22,Female,Family House,Regular,No,10,75,2.17,2.22,2.31,2.0,Stable,2.19,At-Risk
22-03010,23,Male,Dorm,Regular,No,16,71,2.15,2.43,2.17,2.2,Stable,2.24,At-Risk
22-03011,23,Male,Family House,Regular,No,23,94,1.68,1.72,1.82,2.1,Declining,1.79,Good
22-03012,20,Male,Family House,Regular,No,9,87,2.21,2.18,2.28,2.23,Stable,2.22,At-Risk
22-03013,20,Male,Family House,Regular,No,27,88,1.82,1.99,1.72,1.85,Stable,1.84,Good
22-03014,23,Female,Family House,Regular,No,33,95,1.44,1.6,1.42,1.4,Stable,1.47,Excellent
22-03015,24,Female,Family House,Regular,No,11,78,2.21,2.4,2.32,2.12,Stable,2.28,At-Risk
22-03016,24,Female,Family House,Irregular,No,16,94,2.4,1.81,1.64,1.98,Improving,1.97,Good
22-03017,24,Male,Family House,Irregular,No,37,95,2.07,1.56,1.39,1.52,Improving,1.67,Good
22-03018,24,Male,Family House,Regular,Yes,40,100,1.55,1.65,1.42,1.43,Stable,1.52,Excellent
22-03019,23,Female,Family House,Irregular,Yes,39,100,2.18,1.49,1.64,1.43,Improving,1.74,Good
22-03020,24,Male,Dorm,Regular,Yes,33,90,1.57,1.83,1.81,2.05,Declining,1.78,Good
22-03021,23,Female,Dorm,Regular,No,19,87,2.04,2.12,1.92,1.85,Stable,2.0,Good
22-03022,23,Female,Dorm,Irregular,Yes,14,90,2.18,1.93,1.64,1.85,Improving,1.92,Good
22-03023,20,Female,Dorm,Regular,No,17,84,2.1,2.28,2.11,1.95,Stable,2.13,At-Risk
22-03024,23,Female,Dorm,Regular,No,9,79,2.29,2.19,2.04,1.88,Improving,2.13,At-Risk
22-03025,20,Female,Family House,Regular,Yes,21,78,2.07,2.18,2.14,2.23,Stable,2.14,At-Risk
22-03026,22,Female,Family House,Irregular,No,13,82,1.95,2.24,1.86,2.42,Declining,2.07,Good
22-03027,20,Male,Family House,Regular,Yes,34,95,1.3,1.46,1.67,1.45,Stable,1.46,Excellent
22-03028,22,Male,Family House,Regular,No,30,89,1.64,1.97,1.94,1.57,Stable,1.8,Good
22-03029,21,Male,Family House,Regular,No,23,88,2.07,1.81,1.99,1.77,Stable,1.93,Good
22-03030,24,Male,Family House,Regular,Yes,33,97,1.73,1.74,1.72,1.7,Stable,1.72,Good
22-03031,21,Male,Family House,Regular,No,30,89,1.83,1.83,1.79,1.85,Stable,1.82,Good
22-03032,20,Male,Family House,Regular,No,25,94,1.51,1.67,1.65,1.62,Stable,1.61,Excellent
22-03033,20,Male,Family House,Regular,No,19,83,2.11,2.39,2.14,2.33,Stable,2.22,At-Risk
22-03034,23,Male,Family House,Regular,No,16,82,1.83,1.9,1.71,1.93,Stable,1.83,Good
22-03035,21,Male,Family House,Regular,No,40,93,1.6,1.56,1.67,1.3,Stable,1.56,Excellent
22-03036,24,Female,Dorm,Regular,No,19,83,2.11,2.19,2.14,1.98,Stable,2.12,At-Risk
22-03037,20,Male,Dorm,Irregular,No,9,71,2.35,2.35,1.92,2.27,Stable,2.22,At-Risk
22-03038,24,Female,Family House,Regular,No,27,90,1.89,1.89,1.93,2.05,Stable,1.93,Good
22-03039,23,Male,Family House,Regular,No,9,80,2.23,2.18,2.25,2.27,Stable,2.23,At-Risk
22-03040,22,Male,Family House,Regular,No,19,86,2.18,2.1,2.29,2.38,Stable,2.22,At-Risk
22-03041,21,Female,Dorm,Regular,No,30,91,1.5,1.49,1.6,1.62,Stable,1.54,Excellent
22-03042,20,Male,Family House,Regular,No,15,91,1.98,1.92,1.81,1.77,Stable,1.88,Good
22-03043,21,Male,Dorm,Regular,No,30,80,1.71,1.76,1.78,1.6,Stable,1.73,Good
22-03044,21,Male,Family House,Irregular,No,15,95,2.32,1.74,1.49,1.68,Improving,1.84,Good
22-03045,21,Male,Family House,Regular,Yes,18,86,1.96,2.11,2.19,2.05,Stable,2.08,Good
22-03046,22,Female,Family House,Regular,No,25,83,1.83,2.03,1.79,1.77,Stable,1.87,Good
22-03047,21,Male,Family House,Regular,Yes,22,74,2.0,2.06,1.97,1.98,Stable,2.0,Good
22-03048,23,Male,Dorm,Regular,No,26,86,1.75,1.85,2.01,1.88,Stable,1.87,Good
22-03049,23,Female,Family House,Regular,No,34,99,1.36,1.61,1.44,1.45,Stable,1.46,Excellent
22-03050,22,Female,Dorm,Regular,No,27,89,1.9,1.82,1.61,1.85,Stable,1.79,Good
22-03051,21,Male,Family House,Regular,No,18,93,2.01,1.99,1.93,1.6,Improving,1.92,Good
22-03052,22,Male,Family House,Regular,No,18,84,2.18,2.32,2.36,2.1,Stable,2.25,At-Risk
22-03053,22,Male,Family House,Regular,No,20,83,1.87,2.11,1.88,2.02,Stable,1.96,Good
22-03054,23,Female,Dorm,Regular,No,22,84,1.93,1.76,1.89,2.17,Stable,1.91,Good
22-03055,21,Female,Family House,Regular,Yes,14,74,2.11,2.08,2.14,2.05,Stable,2.1,Good
22-03056,21,Male,Family House,Regular,No,39,93,1.71,1.72,1.67,1.85,Stable,1.72,Good
22-03057,23,Female,Dorm,Regular,No,23,88,1.87,1.79,1.83,1.8,Stable,1.83,Good
22-03058,20,Female,Family House,Irregular,No,17,71,2.24,2.17,1.89,2.05,Stable,2.1,Good
22-03059,23,Female,Dorm,Regular,No,40,92,1.37,1.58,1.49,1.55,Stable,1.49,Excellent
22-03060,21,Female,Family House,Regular,Yes,40,97,1.56,1.25,1.53,1.48,Stable,1.46,Excellent
22-03061,23,Female,Family House,Regular,No,31,95,1.64,1.51,1.62,1.57,Stable,1.59,Excellent
22-03062,20,Male,Dorm,Irregular,Yes,18,89,2.31,2.14,1.85,1.93,Improving,2.08,Good
22-03063,21,Female,Family House,Regular,Yes,24,96,1.7,1.96,1.58,1.4,Stable,1.69,Good
22-03064,23,Male,Family House,Regular,No,15,90,1.86,1.69,1.96,1.95,Stable,1.85,Good
22-03065,22,Male,Family House,Regular,No,25,94,1.65,1.93,1.56,1.85,Stable,1.73,Good
22-03066,22,Male,Family House,Regular,No,18,90,1.67,1.82,1.9,1.57,Stable,1.76,Good
22-03067,23,Male,Dorm,Regular,Yes,15,80,2.01,2.1,2.22,2.12,Stable,2.11,At-Risk
22-03068,24,Male,Family House,Irregular,No,18,89,2.37,1.88,1.58,2.05,Improving,1.98,Good
22-03069,20,Male,Family House,Regular,No,28,82,1.77,1.92,1.78,1.82,Stable,1.82,Good
22-03070,21,Female,Dorm,Regular,Yes,25,99,1.54,1.97,1.54,2.12,Declining,1.74,Good
22-03071,23,Female,Family House,Regular,No,26,85,1.75,1.86,1.76,1.75,Stable,1.78,Good
22-03072,20,Male,Family House,Regular,No,9,73,2.11,2.22,2.15,1.85,Stable,2.11,At-Risk
22-03073,20,Female,Dorm,Regular,No,18,89,1.76,1.96,1.68,1.9,Stable,1.81,Good
22-03074,20,Male,Dorm,Irregular,No,20,72,2.11,2.04,2.06,2.15,Stable,2.08,Good
22-03075,20,Male,Dorm,Regular,Yes,34,100,1.46,1.58,1.5,1.48,Stable,1.51,Excellent
22-03076,23,Male,Dorm,Regular,No,38,100,1.77,1.6,1.72,1.62,Stable,1.69,Good
22-03077,20,Male,Family House,Regular,Yes,40,92,1.45,1.5,1.44,1.62,Stable,1.49,Excellent
22-03078,20,Male,Dorm,Irregular,No,39,92,2.06,1.44,1.42,1.5,Improving,1.64,Excellent
22-03079,21,Male,Family House,Regular,No,9,70,2.23,2.32,2.49,2.05,Stable,2.29,At-Risk
22-03080,24,Male,Family House,Regular,Yes,19,89,1.79,1.56,1.57,1.68,Stable,1.65,Excellent
22-03081,20,Male,Family House,Regular,Yes,20,89,1.86,1.9,1.69,1.77,Stable,1.81,Good
22-03082,21,Male,Dorm,Regular,No,21,83,1.98,1.78,1.86,1.4,Improving,1.81,Good
22-03083,20,Female,Family House,Regular,No,39,92,1.64,1.65,1.5,1.82,Stable,1.63,Excellent
22-03084,21,Female,Family House,Regular,No,24,90,1.94,1.78,1.82,1.88,Stable,1.85,Good
22-03085,21,Female,Family House,Regular,Yes,27,100,1.65,1.43,1.44,1.38,Stable,1.5,Excellent
22-03086,20,Female,Family House,Regular,Yes,22,85,1.69,1.92,1.61,1.45,Stable,1.69,Good
22-03087,20,Male,Dorm,Regular,No,32,100,1.65,1.75,1.4,1.68,Stable,1.62,Excellent
22-03088,23,Male,Family House,Regular,No,24,82,1.99,1.85,1.88,1.6,Improving,1.86,Good
22-03089,20,Male,Dorm,Regular,No,16,76,2.27,2.14,2.17,2.08,Stable,2.18,At-Risk
22-03090,24,Male,Family House,Regular,Yes,15,80,2.04,1.78,2.28,2.05,Stable,2.03,Good
22-03091,20,Female,Dorm,Regular,No,19,90,1.94,2.0,1.82,1.68,Stable,1.88,Good
22-03092,23,Female,Family House,Irregular,No,15,75,2.37,2.17,2.0,2.55,Stable,2.24,At-Risk
22-03093,21,Male,Family House,Regular,No,30,95,1.56,1.56,1.65,1.32,Stable,1.55,Excellent
22-03094,23,Female,Family House,Regular,No,8,80,2.14,2.32,2.07,2.15,Stable,2.17,At-Risk
22-03095,23,Female,Family House,Regular,Yes,34,100,1.69,1.61,1.76,1.73,Stable,1.69,Good
22-03096,22,Female,Family House,Regular,Yes,36,100,1.67,1.47,1.35,1.45,Stable,1.5,Excellent
22-03097,21,Male,Family House,Irregular,No,39,95,2.11,1.38,1.74,1.57,Improving,1.73,Good
22-03098,21,Male,Family House,Regular,No,15,87,2.26,2.18,2.17,1.95,Improving,2.17,At-Risk
22-03099,20,Female,Dorm,Regular,No,25,90,1.89,2.1,2.0,1.57,Improving,1.93,Good
22-03100,21,Female,Family House,Regular,No,32,99,1.61,1.32,1.69,1.7,Stable,1.57,Excellent
22-03101,23,Male,Dorm,Irregular,Yes,30,90,1.92,1.85,1.43,1.52,Improving,1.71,Good
22-03102,20,Female,Family House,Regular,No,19,87,1.88,1.82,1.96,2.25,Declining,1.94,Good
22-03103,23,Female,Dorm,Irregular,No,26,90,2.15,1.62,1.67,1.77,Improving,1.82,Good
22-03104,20,Male,Family House,Regular,Yes,28,93,1.73,1.57,1.42,1.75,Stable,1.6,Excellent
22-03105,20,Male,Family House,Irregular,No,24,95,1.99,1.82,1.51,2.02,Stable,1.82,Good
22-03106,21,Female,Family House,Regular,Yes,22,85,1.87,1.71,1.71,1.62,Stable,1.75,Good
22-03107,24,Male,Family House,Regular,Yes,26,90,1.8,1.89,1.64,1.82,Stable,1.78,Good
22-03108,23,Female,Family House,Regular,No,28,83,1.93,2.04,1.82,1.95,Stable,1.93,Good
22-03109,20,Male,Family House,Irregular,No,31,93,2.23,1.76,1.74,1.77,Improving,1.9,Good
22-03110,21,Female,Family House,Regular,No,29,81,1.96,2.0,1.76,1.65,Improving,1.87,Good
22-03111,22,Female,Family House,Regular,No,16,87,1.85,1.72,1.83,1.95,Stable,1.82,Good
22-03112,24,Female,Family House,Irregular,Yes,30,89,1.98,1.65,1.35,1.52,Improving,1.65,Excellent
22-03113,24,Female,Family House,Regular,No,30,92,1.44,1.74,1.62,1.75,Declining,1.62,Excellent
22-03114,22,Male,Family House,Irregular,No,27,85,2.19,1.93,1.71,1.8,Improving,1.93,Good
22-03115,24,Male,Family House,Regular,Yes,18,95,1.75,1.62,1.68,1.73,Stable,1.69,Good
22-03116,22,Female,Dorm,Regular,No,28,94,1.9,1.9,1.93,1.75,Stable,1.89,Good
22-03117,20,Female,Dorm,Regular,No,35,97,1.65,1.68,1.61,1.38,Stable,1.61,Excellent
22-03118,24,Male,Dorm,Regular,No,17,70,2.19,2.1,2.25,2.38,Stable,2.21,At-Risk
22-03119,20,Female,Family House,Regular,Yes,30,88,1.71,1.67,1.75,1.62,Stable,1.7,Good
22-03120,20,Female,Family House,Irregular,Yes,27,85,2.2,2.19,1.33,1.9,Improving,1.92,Good
22-03121,21,Male,Family House,Regular,No,15,83,2.35,2.5,2.15,2.23,Stable,2.32,At-Risk
22-03122,22,Male,Family House,Regular,No,13,73,2.05,2.36,2.25,2.15,Stable,2.2,At-Risk
22-03123,21,Female,Family House,Regular,No,20,80,1.94,1.79,1.99,2.0,Stable,1.92,Good
22-03124,20,Female,Family House,Regular,Yes,24,97,1.6,1.86,1.88,1.73,Stable,1.76,Good
22-03125,24,Male,Family House,Regular,No,17,87,1.86,1.78,1.94,1.98,Stable,1.88,Good
22-03126,24,Female,Family House,Regular,No,18,80,1.96,1.86,1.83,1.65,Improving,1.85,Good
22-03127,23,Male,Family House,Regular,No,26,88,1.92,1.86,1.9,2.17,Stable,1.94,Good
22-03128,21,Female,Dorm,Regular,No,16,85,1.8,1.79,1.94,1.93,Stable,1.85,Good
22-03129,22,Male,Dorm,Regular,No,40,96,1.55,1.35,1.31,1.35,Stable,1.4,Excellent
22-03130,22,Male,Dorm,Irregular,No,8,84,2.32,2.32,1.82,2.17,Stable,2.16,At-Risk
22-03131,24,Male,Dorm,Regular,Yes,36,95,1.45,1.39,1.57,1.68,Stable,1.5,Excellent
22-03132,20,Male,Dorm,Regular,Yes,19,74,2.06,2.26,2.17,1.98,Stable,2.13,At-Risk
22-03133,24,Male,Dorm,Regular,No,21,92,1.79,1.96,1.88,1.95,Stable,1.88,Good
22-03134,24,Female,Dorm,Regular,No,20,84,1.85,1.94,1.92,1.98,Stable,1.91,Good
22-03135,21,Male,Dorm,Regular,No,36,92,1.57,1.6,1.72,1.85,Stable,1.66,Good
22-03136,24,Male,Dorm,Regular,No,33,95,1.6,1.6,1.43,1.32,Stable,1.51,Excellent
22-03137,21,Male,Family House,Irregular,No,9,85,2.18,2.22,1.79,2.35,Stable,2.11,At-Risk
22-03138,24,Male,Dorm,Irregular,No,24,93,2.07,1.86,1.6,2.1,Stable,1.89,Good
22-03139,21,Male,Family House,Regular,Yes,15,76,2.15,1.96,2.12,2.2,Stable,2.1,Good
22-03140,22,Male,Dorm,Regular,Yes,21,91,1.67,1.89,1.76,1.62,Stable,1.75,Good
22-03141,24,Male,Family House,Regular,No,28,80,1.82,1.89,1.81,1.95,Stable,1.85,Good
22-03142,22,Male,Dorm,Regular,No,38,95,1.27,1.62,1.46,1.27,Stable,1.42,Excellent
22-03143,23,Female,Family House,Regular,No,11,78,2.05,2.1,2.29,2.08,Stable,2.13,At-Risk
22-03144,23,Male,Family House,Regular,No,30,81,1.63,1.67,1.82,1.7,Stable,1.7,Good
22-03145,22,Male,Dorm,Irregular,No,17,83,2.21,1.93,1.61,1.73,Improving,1.9,Good
22-03146,21,Male,Dorm,Regular,Yes,27,88,1.68,1.86,1.62,1.68,Stable,1.71,Good
22-03147,22,Female,Dorm,Regular,Yes,38,100,1.69,1.78,1.62,1.65,Stable,1.69,Good
22-03148,21,Male,Dorm,Regular,No,10,80,2.25,2.14,2.21,2.02,Stable,2.18,At-Risk
22-03149,20,Female,Family House,Regular,No,16,81,1.81,1.76,1.9,2.02,Stable,1.85,Good
22-03150,20,Male,Family House,Regular,Yes,26,92,1.82,1.79,1.72,1.82,Stable,1.79,Good
22-03151,20,Female,Family House,Regular,No,8,73,2.31,2.18,2.12,2.17,Stable,2.21,At-Risk
22-03152,24,Female,Dorm,Regular,Yes,15,88,2.32,2.25,2.11,2.25,Stable,2.24,At-Risk
22-03153,22,Male,Family House,Regular,No,19,88,1.93,1.81,1.81,2.25,Declining,1.91,Good
22-03154,21,Female,Dorm,Regular,No,20,80,2.14,2.26,2.28,2.2,Stable,2.22,At-Risk
22-03155,24,Female,Dorm,Regular,No,33,90,1.55,1.36,1.78,1.48,Stable,1.55,Excellent
22-03156,21,Male,Family House,Regular,Yes,32,85,1.75,1.69,1.74,1.8,Stable,1.74,Good
22-03157,24,Male,Family House,Regular,Yes,13,89,1.99,2.11,2.25,1.9,Stable,2.08,Good
22-03158,23,Female,Family House,Regular,No,17,85,1.86,1.49,1.78,1.77,Stable,1.72,Good
22-03159,21,Male,Family House,Regular,No,9,76,2.2,2.19,2.47,2.33,Stable,2.29,At-Risk
22-03160,21,Female,Family House,Regular,No,16,73,2.1,2.31,2.33,2.27,Stable,2.24,At-Risk
22-03161,24,Male,Family House,Regular,Yes,22,86,2.07,2.14,1.93,2.23,Stable,2.07,Good
22-03162,24,Male,Family House,Regular,No,26,93,1.92,1.85,1.88,1.7,Stable,1.85,Good
22-03163,24,Male,Family House,Irregular,No,20,84,2.14,2.03,1.88,2.2,Stable,2.05,Good
22-03164,22,Female,Dorm,Regular,No,26,81,2.02,2.08,1.82,1.82,Stable,1.96,Good
22-03165,21,Female,Dorm,Regular,No,23,91,1.71,2.11,1.97,1.9,Stable,1.92,Good
22-03166,24,Male,Dorm,Regular,No,10,84,2.35,2.18,2.38,2.3,Stable,2.3,At-Risk
22-03167,20,Male,Dorm,Regular,No,9,83,1.96,1.99,2.11,2.23,Stable,2.05,Good
22-03168,21,Female,Family House,Irregular,No,29,82,2.13,1.86,1.79,2.1,Stable,1.96,Good
22-03169,22,Male,Family House,Regular,No,40,93,1.49,1.68,1.53,1.5,Stable,1.55,Excellent
22-03170,20,Female,Family House,Regular,No,10,76,2.42,2.33,2.31,2.17,Stable,2.33,At-Risk
22-03171,24,Female,Family House,Regular,Yes,16,81,2.08,2.11,2.04,2.17,Stable,2.09,Good
22-03172,22,Female,Family House,Irregular,No,20,76,2.32,2.08,2.07,2.35,Stable,2.19,At-Risk
22-03173,21,Female,Family House,Regular,Yes,35,86,1.8,1.93,1.83,1.73,Stable,1.83,Good
22-03174,20,Male,Dorm,Regular,No,22,95,1.8,1.89,1.9,1.62,Stable,1.82,Good
22-03175,20,Male,Dorm,Regular,Yes,33,94,1.75,1.75,1.85,1.75,Stable,1.78,Good
22-03176,24,Female,Family House,Regular,No,15,76,2.31,2.08,2.21,2.12,Stable,2.19,At-Risk
22-03177,20,Female,Dorm,Regular,No,24,84,1.79,1.74,1.68,1.9,Stable,1.76,Good
22-03178,22,Female,Family House,Regular,No,17,83,1.8,2.03,1.86,1.82,Stable,1.88,Good
22-03179,20,Male,Family House,Irregular,No,28,86,2.07,1.64,1.75,1.73,Improving,1.82,Good
22-03180,24,Female,Family House,Regular,Yes,22,90,1.83,2.11,1.75,1.7,Stable,1.87,Good
22-03181,21,Female,Family House,Regular,No,16,82,2.3,2.15,2.03,2.05,Stable,2.15,At-Risk
22-03182,23,Female,Dorm,Irregular,No,30,80,2.17,1.99,1.79,2.45,Stable,2.06,Good
22-03183,21,Female,Family House,Regular,No,27,90,2.1,1.99,2.04,1.77,Improving,2.0,Good
22-03184,22,Male,Dorm,Regular,No,16,91,1.82,1.85,1.83,1.8,Stable,1.83,Good
22-03185,22,Female,Family House,Regular,No,19,92,1.83,1.81,1.89,1.82,Stable,1.84,Good
22-03186,24,Male,Family House,Irregular,No,11,73,2.27,2.4,1.9,2.15,Stable,2.19,At-Risk
22-03187,23,Male,Dorm,Regular,Yes,25,89,1.5,1.76,1.76,2.05,Declining,1.72,Good
22-03188,23,Male,Family House,Regular,No,20,85,1.67,1.61,1.92,1.65,Stable,1.72,Good
22-03189,24,Female,Family House,Regular,No,33,100,1.56,1.49,1.39,1.45,Stable,1.48,Excellent
22-03190,21,Male,Family House,Irregular,Yes,20,74,2.1,2.19,1.86,2.17,Stable,2.07,Good
22-03191,21,Male,Family House,Regular,No,19,75,2.19,2.38,2.22,2.35,Stable,2.27,At-Risk
22-03192,22,Female,Family House,Regular,No,24,84,1.67,1.75,1.78,1.68,Stable,1.72,Good
22-03193,23,Female,Family House,Regular,Yes,40,100,1.38,1.39,1.65,1.5,Stable,1.47,Excellent
